x_coordinate,y_coordinate,Cell_Type,TCN_Label
-3006.523473,3472.608425,073 MEA-BST Sox6 Gaba,1
-2997.707571,3535.112199,196 PAG-PPN Pax5 Sox21 Gaba,1
-2961.155878,3510.215791,131 LHA-AHN-PVH Otp Trh Glut,1
-2859.212214,3443.744199,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2984.872922,3600.617098,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2963.639967,3547.11899,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2945.028144,3583.992876,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2892.860948,3496.752077,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2876.608215,3541.333293,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3026.900885,3529.220886,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3017.111149,3551.013574,199 PAG-MRN-RN Foxa2 Gaba,1
-3000.743007,3451.37874,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2954.16089,3507.624408,173 PAG Pou4f2 Glut,1
-2955.467372,3567.644607,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2909.22667,3472.228197,181 IC Tfap2d Maf Glut,1
-2871.338739,3475.172851,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3024.794532,3774.119827,199 PAG-MRN-RN Foxa2 Gaba,8
-3020.848977,3738.880899,196 PAG-PPN Pax5 Sox21 Gaba,8
-3020.818697,3747.377863,196 PAG-PPN Pax5 Sox21 Gaba,8
-3017.362388,3692.870942,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-3019.579891,3636.306482,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3017.380657,3700.658126,073 MEA-BST Sox6 Gaba,8
-3015.618315,3803.260338,196 PAG-PPN Pax5 Sox21 Gaba,8
-3012.907822,3652.475477,173 PAG Pou4f2 Glut,1
-3003.925261,3702.96211,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-3003.959881,3658.919756,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2997.835089,3776.749203,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2995.0635,3659.252262,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2994.107724,3636.896864,196 PAG-PPN Pax5 Sox21 Gaba,1
-2982.293965,3801.599629,199 PAG-MRN-RN Foxa2 Gaba,8
-2981.460522,3707.245007,106 PVpo-VMPO-MPN Hmx2 Gaba,8
-2975.387626,3724.490063,199 PAG-MRN-RN Foxa2 Gaba,8
-2971.71703,3736.373824,199 PAG-MRN-RN Foxa2 Gaba,8
